SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime_HST,Latitude,Longitude,Volume_L,SequencingID,Alias1,Alias2,Notes
G3PA.diel.S4C11.A,km1906,4,11,0.2,A,15,4/16/19 17:42,41.67,-158.03,8.5,390043,S4C11 A,D42,diel
G3PA.diel.S4C11.B,km1906,4,11,0.2,B,15,4/16/19 17:42,41.67,-158.03,10,390030,S4C11 B,D29,diel
G3PA.diel.S4C11.C,km1906,4,11,0.2,C,15,4/16/19 17:42,41.67,-158.03,10,390016,S4C11 C,D11,diel
G3PA.diel.S4C13.A,km1906,4,13,0.2,A,15,4/16/19 23:07,41.63,-157.92,9.5,390047,S4C13 A,D46,diel
G3PA.diel.S4C13.B,km1906,4,13,0.2,B,15,4/16/19 23:07,41.63,-157.92,9.5,390033,S4C13 B,D32,diel
G3PA.diel.S4C13.C,km1906,4,13,0.2,C,15,4/16/19 23:07,41.63,-157.92,9.5,390009,S4C13 C,D4,diel
G3PA.diel.S4C15.A,km1906,4,15,0.2,A,15,4/17/19 2:58,41.62,-157.92,7,390012,S4C15 A,D7,diel
G3PA.diel.S4C15.B,km1906,4,15,0.2,B,15,4/17/19 2:58,41.62,-157.92,6.5,390024,S4C15 B,D23,diel
G3PA.diel.S4C15.C,km1906,4,15,0.2,C,15,4/17/19 2:58,41.62,-157.92,8,390006,S4C15 C,D1,diel
G3PA.diel.S4C16.B,km1906,4,16,0.2,B,15,4/17/19 5:58,41.62,-157.92,8,390032,S4C16 B,D31,diel
G3PA.diel.S4C16.C,km1906,4,16,0.2,C,15,4/17/19 5:58,41.62,-157.92,10,390034,S4C16 C,D33,diel
G3PA.diel.S4C18.A,km1906,4,18,0.2,A,15,4/17/19 9:50,41.65,-157.93,10,390020,S4C18 A,D18,diel
G3PA.diel.S4C18.B,km1906,4,18,0.2,B,15,4/17/19 9:50,41.65,-157.93,10,390035,S4C18 B,D34,diel
G3PA.diel.S4C18.C,km1906,4,18,0.2,C,15,4/17/19 9:50,41.65,-157.93,9.75,390018,S4C18 C,D13,diel
G3PA.diel.S4C19.A,km1906,4,19,0.2,A,15,4/17/19 13:37,41.65,-157.93,9.25,390042,S4C19 A,D41,diel
G3PA.diel.S4C19.B,km1906,4,19,0.2,B,15,4/17/19 13:37,41.65,-157.93,10,390025,S4C19 B,D24,diel
G3PA.diel.S4C19.C,km1906,4,19,0.2,C,15,4/17/19 13:37,41.65,-157.93,10,390044,S4C19 C,D43,diel
G3PA.diel.S4C21.A,km1906,4,21,0.2,A,15,4/17/19 17:25,41.6,-157.9,9.25,390015,S4C21 A,D10,diel
G3PA.diel.S4C21.B,km1906,4,21,0.2,B,15,4/17/19 17:25,41.6,-157.9,9.75,390027,S4C21 B,D26,diel
G3PA.diel.S4C21.C,km1906,4,21,0.2,C,15,4/17/19 17:25,41.6,-157.9,10,390017,S4C21 C,D12,diel
G3PA.diel.S4C23.A,km1906,4,23,0.2,A,15,4/17/19 21:20,41.63,-157.9,9.5,390007,S4C23 A,D2,diel
G3PA.diel.S4C23.C,km1906,4,23,0.2,C,15,4/17/19 21:20,41.63,-157.9,8.5,390036,S4C23 C,D35,diel
G3PA.diel.S4C25.A,km1906,4,25,0.2,A,15,4/18/19 1:27,41.58,-157.92,8.5,390049,S4C25 A,D48,diel
G3PA.diel.S4C25.B,km1906,4,25,0.2,B,15,4/18/19 1:27,41.58,-157.92,9,390028,S4C25 B,D27,diel
G3PA.diel.S4C28.A,km1906,4,28,0.2,A,15,4/18/19 5:22,41.58,-157.9,9.75,390011,S4C28 A,D6,diel
G3PA.diel.S4C28.B,km1906,4,28,0.2,B,15,4/18/19 5:22,41.58,-157.9,10,390041,S4C28 B,D40,diel
G3PA.diel.S4C28.C,km1906,4,28,0.2,C,15,4/18/19 5:22,41.58,-157.9,9.75,390008,S4C28 C,D3,diel
G3PA.diel.S4C3.A,km1906,4,3,0.2,A,15,4/16/19 3:16,41.67,-158.03,6,390048,S4C3 A,D47,diel
G3PA.diel.S4C3.B,km1906,4,3,0.2,B,15,4/16/19 3:16,41.67,-158.03,7,390039,S4C3 B,D38,diel
G3PA.diel.S4C3.C,km1906,4,3,0.2,C,15,4/16/19 3:16,41.67,-158.03,7,390019,S4C3 C,D14,diel
G3PA.diel.S4C30.A,km1906,4,30,0.2,A,15,4/18/19 8:14,41.6,-157.88,9.5,390010,S4C30 A,D5,diel
G3PA.diel.S4C30.B,km1906,4,30,0.2,B,15,4/18/19 8:14,41.6,-157.88,6,390037,S4C30 B,D36,diel
G3PA.diel.S4C30.C,km1906,4,30,0.2,C,15,4/18/19 8:14,41.6,-157.88,9.5,390022,S4C30 C,D21,diel
G3PA.diel.S4C31.A,km1906,4,31,0.2,A,15,4/18/19 12:06,41.58,-157.87,8.5,390026,S4C31 A,D25,diel
G3PA.diel.S4C31.B,km1906,4,31,0.2,B,15,4/18/19 12:06,41.58,-157.87,9,390013,S4C31 B,D8,diel
G3PA.diel.S4C31.C,km1906,4,31,0.2,C,15,4/18/19 12:06,41.58,-157.87,10,390031,S4C31 C,D30,diel
G3PA.diel.S4C4.A,km1906,4,4,0.2,A,15,4/16/19 6:10,41.67,-158.05,6,390023,S4C4 A,D22,diel
G3PA.diel.S4C4.B,km1906,4,4,0.2,B,15,4/16/19 6:10,41.67,-158.05,8.5,390045,S4C4 B,D44,diel
G3PA.diel.S4C4.C,km1906,4,4,0.2,C,15,4/16/19 6:10,41.67,-158.05,8.5,390014,S4C4 C,D9,diel
G3PA.diel.S4C7.B,km1906,4,7,0.2,B,15,4/16/19 9:36,41.67,-158.05,10,390046,S4C7 B,D45,diel
G3PA.diel.S4C7.C,km1906,4,7,0.2,C,15,4/16/19 9:36,41.67,-158.05,10,390040,S4C7 C,D39,diel
G3PA.diel.S4C8.A,km1906,4,8,0.2,A,15,4/16/19 13:39,41.67,-158.05,9,390029,S4C8 A,D28,diel
G3PA.diel.S4C8.B,km1906,4,8,0.2,B,15,4/16/19 13:39,41.67,-158.05,8.5,390021,S4C8 B,D20,diel
G3PA.diel.S4C8.C,km1906,4,8,0.2,C,15,4/16/19 13:39,41.67,-158.05,10,390038,S4C8 C,D37,diel