sample_name,standards_added,volume_filtered,BPDExtraSmall1,BPDExtraSmall2,BPDSmall1,BPDSmall2,BPDMedium1,BPDMedium2,BPDLarge1,BPDLarge2,SmallStandard1,SmallStandard2,MediumStandard1,MediumStandard2,LargeStandard1,LargeStandard2,average,NORM_FACTOR
G3PA.UW36.flash,5230198630,5.5,108580,23942,381797,524887,1069493,1062647,1666481,932536,50,41,258,357,747,822,939640.1667,1012.031243
G3PA.UW59.flash,5230198630,5.5,36063,6523,135327,202215,384026,374075,571219,315520,201,145,978,1235,2640,2617,330397,2878.189588
G3PA.UW51.flash,5230198630,6,218233,47701,780960,1151306,2090599,2065381,3118651,1775404,374,289,2233,2962,6087,6526,1830383.5,476.2388711
G3PA.UW37.flash,5230198630,6,72739,15874,307382,363722,619117,624836,927866,527763,174,51,340,492,1108,922,561781,1551.671864
G3PA.UW27.flash,5230198630,6,155953,29959,725191,908425,1898949,2009762,3025025,1756767,173,115,535,994,1890,2083,1720686.5,506.5999946
G3PA.UW57.flash,5230198630,6,84588,14097,234374,353760,605183,593428,883672,476165,481,429,2748,3462,7837,7485,524430.3333,1662.184119
G3PA.UW44.flash,5230198630,7.5,192548,40883,795636,1066312,2173424,2169036,3374453,1927328,201,171,919,1286,2535,2676,1917698.167,363.6442009
G3PA.UW67.flash,5230198630,7.5,110763,22704,346405,513195,924150,888833,1357731,749727,306,164,709,1013,2760,2394,796673.5,875.3395429
G3PA.UW21.flash,5230198630,7,349970,72832,1282622,1576996,2962473,3097732,4449944,2634616,434,232,1136,1621,3147,2998,2667397.167,280.112479
G3PA.UW29.flash,5230198630,7,134786,29497,469308,719222,1194394,1158318,1679141,960831,382,296,1777,2160,4537,4344,1030202.333,725.2664925
G3PA.UW4.flash,5230198630,6,288840,58729,1231060,1575621,3280864,3320290,5180957,3077469,105,95,282,518,1027,892,2944376.833,296.0557772
G3PA.UW64.flash,5230198630,6,92889,18417,367591,521207,987623,983401,1451171,784435,269,115,617,797,1900,1672,849238,1026.449325
G3PA.UW31.flash,5230198630,9.25,312662,69269,962320,1455124,2515821,2496578,3799636,2200645,166,100,773,856,1533,1658,2238354,252.6083358
G3PA.UW20.flash,5230198630,9.25,105346,22471,274294,392327,684324,684008,993369,543273,232,259,1142,1460,2911,2926,595265.8333,949.8728925
G3PA.UW2.flash,5230198630,8.5,75428,16554,307397,398859,852986,857574,1314722,763654,38,29,92,111,274,259,749198.6667,821.3008288
G3PA.UW1.flash,5230198630,8.5,66156,13451,263304,341962,658893,667976,961286,549377,155,75,463,586,1094,1029,573799.6667,1072.355949
G3PA.UW8.flash,5230198630,9,78191,17221,335514,426554,778337,764279,1161540,640222,101,38,160,273,598,525,684407.6667,849.1038447
G3PA.UW26.flash,5230198630,10,153118,31174,781488,963251,2017436,2074059,3149470,1888575,116,53,298,361,890,862,1812379.833,288.5818157
G3PA.UW9.flash,5230198630,10,40022,7874,187986,247952,517654,526327,822222,467924,95,25,118,172,527,447,461677.5,1132.868427
G3PA.UW56.flash,5230198630,9.75,232496,50228,858359,1254838,2350925,2335304,3666918,2025455,231,210,882,1432,2760,2420,2081966.5,257.6557446
G3PA.UW35.flash,5230198630,9.75,48106,9946,202030,283302,541850,553056,848202,480078,132,78,418,564,1348,1384,484753,1106.606104
G3PA.UW13.flash,5230198630,10,152512,28212,521859,682187,1451880,1413203,2229812,1283408,120,64,262,388,782,781,1263724.833,413.871635
G3PA.UW66.flash,5230198630,10,74501,15246,285542,422895,712561,692120,1013702,572795,185,83,433,584,1177,998,616602.5,848.22858
G3PA.UW58.flash,5230198630,10,139132,27864,559843,858399,1676426,1555112,2467741,1395552,179,180,1410,1772,3615,3923,1418845.5,368.6235485
G3PA.UW7.flash,5230198630,10,86261,19261,284272,443175,764368,699645,988165,535321,137,57,334,384,908,919,619157.6667,844.7280736
G3PA.UW19.flash,5230198630,7,190778,41456,738234,998922,1997050,1943841,2980383,1737150,82,112,252,384,806,766,1732596.667,431.2436052
G3PA.UW10.flash,5230198630,7,63945,12853,284812,373720,764211,722118,1109962,616051,87,39,128,241,494,503,645145.6667,1158.143457
G3PA.UW55.flash,5230198630,10,37436,8168,173891,236335,462609,469266,719617,419421,31,23,128,160,341,343,413523.1667,1264.789751
G3PA.UW41.flash,5230198630,10,46556,8910,149722,214082,390765,401953,608898,349813,305,221,1202,1685,3644,3407,352538.8333,1483.580853
G3PA.UW46.flash,5230198630,7,39244,7866,148113,212678,429314,425140,678089,388598,178,160,573,982,1892,1887,380322,1964.575367
G3PA.UW60.flash,5230198630,7,22660,4609,94346,135965,268592,274968,419099,232316,59,23,153,146,350,386,237547.6667,3145.352861
G3PA.UW52.flash,5230198630,9.5,37518,8803,143217,209091,387112,368762,494701,294179,76,28,347,487,1043,1095,316177,1741.262724
G3PA.UW33.flash,5230198630,9.5,30925,6739,126687,177219,326297,337791,498229,288572,124,71,360,549,1243,1349,292465.8333,1882.432618
G3PA.UW6.flash,5230198630,10,38679,9165,136818,196339,365907,376489,588119,347233,10,20,33,40,146,86,335150.8333,1560.550686
G3PA.UW43.flash,5230198630,10,31599,6142,117164,161531,316374,322183,508281,293373,73,28,149,219,460,458,286484.3333,1825.649092
G3PA.UW53.flash,5230198630,8,37740,8630,228318,270418,521759,521837,787599,469570,34,24,73,112,235,220,466583.5,1401.195775
G3PA.UW30.flash,5230198630,8,47615,10907,176983,264481,477841,488543,745369,432885,50,16,95,107,324,244,431017,1516.819125
G3PA.UW24.flash,5230198630,9.5,19796,4090,88767,111102,225021,239272,374783,225426,38,4,18,52,146,110,210728.5,2612.590249
G3PA.UW5.flash,5230198630,9.5,50122,10958,216265,314037,582571,582559,887366,497866,216,96,472,644,1372,1261,513444,1072.263429
G3PA.UW17.flash,5230198630,10,39268,8169,133700,180881,354016,366806,576595,344428,25,5,28,81,109,79,326071,1604.006069
G3PA.UW32.flash,5230198630,10,35892,8034,113162,168135,300673,305754,467593,267778,81,44,239,237,629,598,270515.8333,1933.416823
G3PA.UW34.flash,5230198630,10,51343,10186,164951,231318,425518,447350,667372,392331,7,9,34,118,241,116,388140,1347.503125
G3PA.UW25.flash,5230198630,10,19055,3600,82645,109504,233234,240782,382329,224649,49,18,81,113,237,291,212190.5,2464.85994
G3PA.UW54.flash,5230198630,5.5,91481,20316,399389,578939,1158152,1147480,1772688,1015319,82,43,226,376,756,788,1011994.5,939.6742823
G3PA.UW47.flash,5230198630,5.5,77534,16962,234579,368814,657955,650569,999736,561119,473,247,1176,1788,3233,3630,578795.3333,1642.973173
G3PA.UW11.flash,5230198630,10,62088,14191,238599,308395,625661,609072,916622,545674,32,22,47,66,240,213,540670.5,967.3541704
G3PA.UW42.flash,5230198630,10,23988,5028,81151,122847,214038,205742,313672,184615,24,7,74,72,121,164,187010.8333,2796.735642
G3PA.UW18.flash,5230198630,9.5,33892,7404,156148,211733,420809,408702,645076,382668,3,2,37,67,136,126,370856,1484.530988
G3PA.UW23.flash,5230198630,9.5,20391,3939,65121,91873,171709,173339,269216,153819,9,4,30,33,45,78,154179.5,3570.819883
G3PA.UW50.flash,5230198630,8,55201,12056,229617,359869,672136,617742,955275,565309,62,16,167,163,359,472,566658,1153.737931
G3PA.UW39.flash,5230198630,8,27740,6340,84053,124720,213641,209976,321061,184178,15,2,54,49,106,103,189604.8333,3448.091577
G3PA.UW12.flash,5230198630,9.5,46377,9248,268908,321225,658557,700899,1059316,644453,48,12,44,104,270,171,608893,904.1772926
G3PA.UW62.flash,5230198630,9.5,18222,3858,76128,106896,211640,216288,335285,188650,26,5,27,32,133,117,189147.8333,2910.671587
G3PA.UW40.flash,5230198630,8.5,91535,20775,324010,450262,814359,832399,1261131,747965,90,41,161,295,560,573,738354.3333,833.3634112
G3PA.UW22.flash,5230198630,8.5,12975,2271,63131,78194,160733,170492,264100,154501,46,10,39,49,140,84,148525.1667,4142.849994
G3PA.UW48.flash,5230198630,8.5,65812,14944,247778,332866,628134,633469,972328,563844,155,108,469,604,1115,1124,563069.8333,1092.790715
G3PA.UW16.flash,5230198630,8.5,22807,4733,113376,128461,267739,276209,429586,244564,51,12,51,85,189,176,243322.5,2528.814581
G3PA.UW14.flash,5230198630,10,39176,7889,138120,175848,360573,380915,589237,349061,21,9,16,31,67,56,332292.3333,1573.975113
G3PA.UW45.flash,5230198630,10,27811,6545,91228,134884,226065,236615,339817,205447,37,30,193,241,441,441,205676,2542.930935
G3PA.UW28.flash,5230198630,10.25,28275,6027,130849,155597,340125,354578,542837,321503,11,38,24,49,188,130,307581.5,1658.953094
G3PA.UW38.flash,5230198630,10.25,22278,5869,96768,130764,226171,235780,347496,209255,6,1,15,44,62,83,207705.6667,2456.66519
G3PA.UW63.flash,5230198630,10,46667,10538,172158,218718,445123,450545,698790,405797,44,17,58,97,171,165,398521.8333,1312.399521
G3PA.UW49.flash,5230198630,10,29083,6909,109423,146570,267090,270670,429439,246785,23,15,15,25,57,46,244996.1667,2134.808353